id	dimension	level	phase	phase_number	question_type	text	options	correct_answer	image_filename	min_reading_time_ms	expected_time_ms	verification_text	rescue_text	weight
4fe225e3-9596-450b-94f1-0b16e9c2fd17	saber	1	Fase 1: Entrenamiento Conceptual	1	MAIN	¿Qué significa investigar científicamente?	"[{""id"": ""A"", ""text"": ""Buscar nuevos conocimientos o soluciones a un problema de forma sistem\u00e1tica.""}, {""id"": ""B"", ""text"": ""Copiar informaci\u00f3n de un libro para presentarla en clase.""}]"	A	Buhotech - Conocimiento Científico.png	2000	7000	¡Correcto! Investigar es un proceso sistemático para descubrir algo nuevo o resolver dudas.	Recuerda que la investigación no es solo copiar, sino crear nuevo conocimiento.	1.0
51758155-52f2-4218-8087-dfbae0340919	saber	1	Fase 1: Entrenamiento Conceptual	1	MAIN	¿Para qué sirve hacer una tesis?	"[{""id"": ""A"", ""text"": ""Para demostrar que puedes investigar y resolver un problema real de tu carrera.""}, {""id"": ""B"", ""text"": ""\u00danicamente para cumplir un tr\u00e1mite y archivar el documento en la biblioteca.""}]"	A	Buhotech - Conocimiento Científico.png	2000	7000	¡Exacto! Una tesis demuestra tu capacidad para aplicar la ciencia a problemas reales.	Una tesis es tu aporte profesional a la sociedad, no solo un trámite.	1.0
00332bd0-7dc8-4517-b09a-fde55f33b9f3	saber	1	Fase 1: Entrenamiento Conceptual	1	MAIN	¿Qué propósito principal tiene la 'Justificación' en una investigación?	"[{""id"": ""A"", ""text"": ""Explicar por qu\u00e9 es importante hacer el estudio y a qui\u00e9nes va a beneficiar.""}, {""id"": ""B"", ""text"": ""Copiar las conclusiones de otros autores para que el trabajo se vea m\u00e1s largo.""}]"	A	Buhotech  - JUSTIFICACIÓN.png	2000	7000	¡Excelente! La justificación convence al lector de que el trabajo vale la pena.	Recuerda: justificar es dar razones válidas de por qué tu trabajo es útil o necesario.	1.0
8f491660-b987-4d2e-99d6-3bc96ad11ef7	saber	1	Fase 1: Entrenamiento Conceptual	1	MAIN	¿Qué es un problema de investigación?	"[{""id"": ""A"", ""text"": ""Una dificultad o duda te\u00f3rica o pr\u00e1ctica que necesita ser resuelta mediante el m\u00e9todo cient\u00edfico.""}, {""id"": ""B"", ""text"": ""Una tarea o resumen que el profesor deja para la casa.""}]"	A	Buhotech - FORMULACIÓN DEL PROBLEMA.png	2000	7000	¡Correcto! Un problema de investigación es el punto de partida que requiere investigación estructurada.	Recuerda que la investigación científica busca resolver vacíos de conocimiento.	1.0
20947e5d-a270-4787-b002-069998eac0ab	saber	1	Fase 1: Entrenamiento Conceptual	1	MAIN	¿Cuál es el primer paso clave al iniciar cualquier tesis o investigación científica?	"[{""id"": ""A"", ""text"": ""Plantear y delimitar el problema de investigaci\u00f3n.""}, {""id"": ""B"", ""text"": ""Escribir las conclusiones finales.""}]"	A	Buhotech - FORMULACIÓN DEL PROBLEMA.png	2000	6000	¡Exacto! No puedes investigar sin tener claro qué problema vas a resolver.	Si no sabes a dónde vas, ¿cómo podrías llegar? El problema es siempre lo primero.	1.0
06971534-5021-462d-bf36-ce087b2b52aa	saber	1	Fase 1: Entrenamiento Conceptual	1	MAIN	El método del embudo para plantear un problema consiste en redactar desde lo general a lo particular. ¿Cuáles son los tres niveles lógicos?	"[{""id"": ""A"", ""text"": ""Macro, Meso, Micro.""}, {""id"": ""B"", ""text"": ""Introducci\u00f3n, Desarrollo, Conclusi\u00f3n.""}]"	A	Buhotech - Metodo del Embudo.png	2500	8000	Exacto: Macro (Mundial), Meso (Nacional), Micro (Local/Institucional).	Piensa en el tamaño: desde lo más grande (Macro) hasta lo más pequeño (Micro).	1.0
8b70d5c3-3420-4abd-89f7-f3e4c9917cf4	saber	2	Fase 1: Entrenamiento Conceptual	1	MAIN	¿Cuál de los siguientes es el mejor ejemplo de un **objetivo general** correctamente formulado y medible?	"[{""id"": ""A"", ""text"": ""Conocer un poco sobre c\u00f3mo afecta el internet a los ni\u00f1os de hoy.""}, {""id"": ""B"", ""text"": ""Determinar la relaci\u00f3n entre el uso de redes sociales y el rendimiento acad\u00e9mico en estudiantes de secundaria del Colegio San Marcos (2024).""}, {""id"": ""C"", ""text"": ""Implementar una campa\u00f1a para que los j\u00f3venes usen menos el celular.""}]"	B	Buhotech - OBJETIVOS.png	4000	15000	Correcto. El verbo 'Determinar' es medible y las variables están delimitadas.	Busca un verbo medible (Determinar, Analizar) y una delimitación clara.	1.0
04607624-f4ca-498c-a47b-ace59371f7ca	saber	2	Fase 1: Entrenamiento Conceptual	1	MATCH	Empareja cada elemento para mantener la coherencia (Matriz de Consistencia):	"[{""id"": ""1"", ""left"": ""Problema"", ""right"": ""\u00bfExiste relaci\u00f3n entre X e Y?""}, {""id"": ""2"", ""left"": ""Objetivo"", ""right"": ""Determinar la relaci\u00f3n entre X e Y.""}, {""id"": ""3"", ""left"": ""Hip\u00f3tesis"", ""right"": ""Existe una relaci\u00f3n significativa entre X e Y.""}]"	MATCH	Buhotech - Hipótesis.png	4000	20000	¡Perfecto! Has comprendido la alineación lógica.	El problema es pregunta, el objetivo es verbo, la hipótesis es afirmación.	1.0
2d56eb39-002b-4582-be43-b532dc94bc0a	saber	2	Fase 1: Entrenamiento Conceptual	1	FILL_BLANK	La operacionalización es el proceso de pasar de un concepto abstracto (Variable) a uno medible a través de ______ (componentes temáticos) y ______ (formas de medir).	"[{""id"": ""A"", ""text"": ""dimensiones / indicadores""}, {""id"": ""B"", ""text"": ""preguntas / objetivos""}]"	A	Buhotech - VACIADO DE DATOS.png	3000	10000	Correcto. Variables -> Dimensiones -> Indicadores.	Recuerda la jerarquía: Variable -> Dimensión -> Indicador.	1.0
f63d8970-e402-449f-a0f9-cd94be27f10b	saber	3	Fase 1: Entrenamiento Conceptual	1	MAIN	Dada la variable 'Rendimiento Académico', ¿cuál es la clasificación correcta?	"[{""id"": ""A"", ""text"": ""Dimensi\u00f3n: Notas de matem\u00e1ticas | Indicador: Promedio vigesimal 0-20""}, {""id"": ""B"", ""text"": ""Dimensi\u00f3n: Promedio vigesimal 0-20 | Indicador: Notas de matem\u00e1ticas""}]"	A	Buhotech -  ANÁLISIS ESTADÍSTICO.png	4000	15000	Correcto. El indicador siempre es la métrica exacta.	El indicador es cómo lo mides exactamente (números, rangos).	1.0
